474092,5552,20356
474092,5552,20356
473414,5859,20727
472616,6325,21059
472111,6666,21223
471701,6946,21353
471136,7091,21773
469974,7910,22116
468816,8666,22518
467431,9493,23076
465988,10063,23949
464450,10877,24673
463657,10966,25377
462629,11019,26352
460952,12147,26901
458817,13950,27233
455689,16211,28100
453576,17280,29144
451530,18279,30191
450546,18075,31379
449068,17980,32952
446675,19370,33955
444367,20845,34788
441458,22254,36288
438506,23284,38210
436522,23613,39865
435214,22910,41876
433928,22239,43833
431957,22506,45537
429032,24145,46823
425525,25728,48747
